Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
6faa2382-b81d-492a-8daf-d1dba7c77c2a,"2020-08-10, 10:17:01 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,189.120.116.67
01086c4e-5199-4e6c-ab7a-80de5a40133a,"2020-08-10, 10:17:00 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,189.120.116.67
67542a5b-080c-4f6a-92f4-ab8651d9a58f,"2020-08-10, 10:17:00 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,189.120.116.67
0945cfc9-f27a-4717-b964-0e7fba4aeae1,"2020-08-10, 10:16:59 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXTG5DOH475JVWZNSA""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::522302222841:user/Accountant""}]",,us-east-1,,189.120.116.67
98905fdd-4106-4b0f-a0a1-edd832a377e4,"2020-08-10, 10:14:07 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,189.120.116.67
b142e562-183e-4c1e-bc3d-a178f6265f74,"2020-08-10, 10:14:07 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::522302222841:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXTG5DOH4TFVBJXHQE""}]",,us-east-1,,189.120.116.67
88619213-e99f-4cc0-b865-a7b21e08d999,"2020-08-10, 10:13:49 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,189.120.116.67
a811758b-b988-4fde-a43c-da0405968d1f,"2020-08-10, 10:13:49 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,189.120.116.67
f2f70ab9-8f32-4aad-bcee-2106c48b93c1,"2020-08-10, 10:13:49 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::522302222841:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXTG5DOH42KXGQNKGB""}]",,us-east-1,,189.120.116.67
11c0610b-c155-49b1-a451-7d4542686d45,"2020-08-10, 10:11:26 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,189.120.116.67
